Engine CC,Total,Price,Female,Manufacturer,Unknown,Fuel,Male,Power,Model,Transmission
1594.0,6851.0,14.76166667,2117.0,Kia,213.0,petrol,4521.0,75.0,Mentor,4.666666667
1642.333333,6705.0,38.93888889,3135.0,Peugeot,352.0,petrol,3218.0,135.5555556,RCZ,6.0
1775.777778,6628.0,20.20388889,2319.0,Chevrolet,392.0,petrol,3917.0,82.33333333,Tacuma,4.777777778
1695.0,6577.0,20.74,2892.0,Rover,278.0,petrol,3407.0,75.0,Streetwise,5.0
1972.8125,6302.0,37.350625,1014.0,Alfa,308.0,petrol,4980.0,121.0625,GT,5.375
1603.117647,5952.0,15.11811765,1111.0,Opel,103.0,petrol,4738.0,61.76470588,Ascona,4.588235294
1911.75,5866.0,26.59125,1927.0,Dodge,227.0,petrol,3712.0,108.625,Caliber,4.125
698.0,5796.0,24.35,2079.0,Smart,367.0,petrol,3350.0,60.0,Roadster,6.0
2309.0,5622.0,43.9745,891.0,Audi,111.0,petrol,4620.0,98.0,Cabriolet,4.5
1742.6,5594.0,19.895,1831.0,Kia,237.0,petrol,3526.0,94.0,Cerato,4.8
2953.588235,5555.0,38.48247059,898.0,Nissan,166.0,diesel,4491.0,90.94117647,Patrol,4.882352941
1638.888889,5515.0,29.043,1118.0,Lancia,150.0,petrol,4247.0,105.0740741,Delta,5.851851852
2555.285714,5394.0,34.10357143,699.0,Nissan,237.0,petrol,4458.0,121.8571429,Maxima,4.571428571
1827.8,5248.0,19.055,1191.0,Hyundai,153.0,petrol,3904.0,89.2,Elantra,4.6
1736.2,5165.0,13.2218,1203.0,Renault,106.0,petrol,3856.0,70.2,Fuego,4.6
3358.666667,4879.0,69.397,613.0,Honda,227.0,petrol,4039.0,173.0,Legend,5.0
1137.75,4759.0,7.55925,1787.0,Volkswagen,134.0,petrol,2838.0,38.75,Derby,4.0
5341.0,4742.0,360.755,359.0,Aston,191.0,petrol,4192.0,410.0,Vantage,6.0
2696.5,4649.0,55.2,1197.0,Alfa,304.0,petrol,3148.0,163.5,Spider,6.0
1706.333333,4635.0,28.17,1045.0,Chevrolet,201.0,petrol,3389.0,103.0,Cruze,5.583333333
1925.25,4528.0,33.8615625,659.0,Seat,147.0,petrol,3722.0,116.25,Exeo,5.375
1568.0,4470.0,12.241,891.0,Lada,97.0,petrol,3482.0,57.0,Niva,5.0
1329.0,4357.0,20.21333333,2036.0,Toyota,296.0,petrol,2025.0,74.0,Urban,6.0
999.0,4327.0,11.917,2445.0,Seat,189.0,petrol,1693.0,49.13333333,Mii,5.0
2126.8,4284.0,28.803,757.0,Kia,153.0,petrol,3374.0,111.2,Magentis,4.8
2967.0,4278.0,87.12,401.0,Audi,162.0,diesel,3715.0,190.0,A,8.0
1968.0,4174.0,35.37645833,867.0,Volkswagen,244.0,diesel,3063.0,103.0833333,Transporter,6.0
2254.0,4127.0,30.081,1100.0,Honda,291.0,petrol,2736.0,110.0,Shuttle,4.0
2309.340426,4067.0,57.22905851,722.0,Mercedes,260.0,diesel,3085.0,120.4255319,Viano,5.234042553
